         864411657 function calls (711945371 primitive calls) in 862.664 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      635  164.680    0.259  164.680    0.259 {method 'poll' of 'select.poll' objects}
173952205/73090045   53.415    0.000   97.513    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:333(_iterencode_dict)
   210231   43.908    0.000   56.498    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:640(add_edges_from)
35146170/2386   42.567    0.000  128.276    0.054 /opt/conda/envs/run_env/lib/python3.7/copy.py:132(deepcopy)
9162638/2386   41.313    0.000  128.248    0.054 /opt/conda/envs/run_env/lib/python3.7/copy.py:237(_deepcopy_dict)
      956   40.917    0.043   40.917    0.043 {built-in method posix.read}
    10885   36.934    0.003   36.934    0.003 {built-in method time.sleep}
      421   36.258    0.086   36.274    0.086 {built-in method _posixsubprocess.fork_exec}
    25253   28.979    0.001  166.690    0.007 /opt/conda/envs/run_env/lib/python3.7/json/__init__.py:120(dump)
 84434025   25.185    0.000   25.185    0.000 {method 'get' of 'dict' objects}
 73065624   23.487    0.000   23.487    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    45411   22.235    0.000   28.850    0.001 /opt/conda/envs/run_env/lib/python3.7/json/decoder.py:343(raw_decode)
      246   20.838    0.085   20.849    0.085 {built-in method posix.fork}
79149901/73090045   18.741    0.000  113.405    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:413(_iterencode)
39298103/39238017   13.728    0.000   48.481    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:277(_iterencode_list)
        3   13.459    4.486   23.404    7.801 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:150(__init__)
   833446   11.893    0.000   11.893    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:495(remove_node)
    11561   11.681    0.001   11.681    0.001 {method 'read' of '_ssl._SSLSocket' objects}
    74081   11.177    0.000   12.039    0.000 {built-in method io.open}
        3    9.929    3.310    9.944    3.315 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:91(get_index)
60771632/60771379    9.376    0.000    9.566    0.000 {built-in method builtins.isinstance}
4380965/4365816    8.590    0.000   12.881    0.000 {built-in method builtins.sorted}
 27192169    8.462    0.000    8.462    0.000 {built-in method _json.encode_basestring_ascii}
 59357286    7.196    0.000    7.196    0.000 {built-in method builtins.id}
    45838    6.933    0.000    7.435    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     4994    6.736    0.001    6.918    0.001 {method 'read' of '_io.BufferedReader' objects}
 10015582    6.054    0.000    8.685    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:253(_keep_alive)
   210192    5.716    0.000   76.435    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:304(pluck)
 30944515    5.534    0.000    5.703    0.000 {method 'update' of 'dict' objects}
       19    4.923    0.259   87.864    4.624 /root/repo/cf-scripts/conda_forge_tick/migrators/migration_yaml.py:414(create_rebuild_graph)
  4332138    4.556    0.000   48.415    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:176(__getitem__)
       30    4.158    0.139    4.171    0.139 /root/repo/cf-scripts/conda_forge_tick/mamba_solver.py:170(solve)
   599134    3.929    0.000  113.690    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:161(parse_already_pred)
  6303513    3.870    0.000    4.603    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:716(<genexpr>)
       33    3.869    0.117    6.207    0.188 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:97(<listcomp>)
       33    3.418    0.104    3.999    0.121 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/readwrite/json_graph/node_link.py:88(<listcomp>)
      231    3.193    0.014  235.423    1.019 /root/repo/cf-scripts/conda_forge_tick/contexts.py:57(effective_graph)
852402/707    3.094    0.000  128.200    0.181 /opt/conda/envs/run_env/lib/python3.7/copy.py:269(_reconstruct)
    25219    3.011    0.000   93.156    0.004 /root/repo/cf-scripts/conda_forge_tick/utils.py:171(_dump)
  2878054    2.971    0.000    6.614    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:421(object_hook)
   187508    2.634    0.000    2.634    0.000 {built-in method posix.stat}
  4357560    2.630    0.000   43.871    0.000 /root/repo/cf-scripts/conda_forge_tick/utils.py:161(_load)
 16838769    2.491    0.000    2.491    0.000 {method 'items' of 'dict' objects}
  1628444    2.212    0.000    2.212    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/digraph.py:701(remove_edge)
16956459/16943626    2.194    0.000    2.209    0.000 {built-in method builtins.len}
 19376647    2.108    0.000    2.108    0.000 /opt/conda/envs/run_env/lib/python3.7/copy.py:190(_deepcopy_atomic)
 14913819    2.086    0.000    2.086    0.000 /opt/conda/envs/run_env/lib/python3.7/json/encoder.py:353(<lambda>)
  3987308    2.072    0.000    2.072    0.000 /root/repo/cf-scripts/conda_forge_tick/migrators/core.py:167(<genexpr>)
  4179644    2.068    0.000   50.222    0.000 /opt/conda/envs/run_env/lib/python3.7/_collections_abc.py:657(get)
  3029485    1.985    0.000    2.409    0.000 /opt/conda/envs/run_env/lib/python3.7/site-packages/networkx/classes/reportviews.py:799(<genexpr>)
